Show,air_date_t-1,air_date,air_date_t+1
The Muppets,0.08,0.77,0.15
The Good Wife,0.05,0.81,0.14
The Grinder,0.08,0.79,0.13
The Flash,0.07,0.78,0.15
Scream Queens,0.10,0.76,0.14
60 Minutes,0.03,0.87,0.10
Agents of SHIELD,0.04,0.84,0.12
Best Time Ever,0.02,0.91,0.07
Blindspot,0.06,0.82,0.12
Dancing with the Stars,0.07,0.86,0.07
Gotham,0.07,0.82,0.10
Grandfathered,0.09,0.76,0.15
Jane the Virgin,0.07,0.81,0.13
iZombie,0.09,0.68,0.22
NCIS,0.08,0.81,0.11
NCIS: Los Angeles,0.03,0.88,0.09
Once Upon a Time,0.15,0.64,0.20
Quantico,0.05,0.82,0.13
Rosewood,0.01,0.94,0.04
