air_date,title,total_tweets,viewers,rating,share,day,air_time,network,unique_tweets
11/1/2015,60 Minutes,1687,11,1.4,4,Sun,1/1/1900 19:00,CBS,1058
11/1/2015,Blood & Oil,1992,3.25,0.8,2,Sun,1/1/1900 21:00,ABC,435
11/1/2015,CSI: Cyber,560,5.44,0.7,2,Sun,1/1/1900 22:00,CBS,184
11/1/2015,Madam Secretary,735,9.47,1.1,3,Sun,1/1/1900 20:00,CBS,309
11/1/2015,Once Upon a Time,11695,4.83,1.5,4,Sun,1/1/1900 20:00,ABC,2738
11/1/2015,Quantico,6890,4.05,1.2,3,Sun,1/1/1900 22:00,ABC,1823
11/1/2015,The Good Wife,1432,7.55,0.9,2,Sun,1/1/1900 21:00,CBS,565
11/2/2015,Blindspot,4368,8.02,2.2,7,Mon,1/1/1900 22:00,NBC,969
11/2/2015,Crazy Ex-Girlfriend,875,0.95,0.3,1,Mon,1/1/1900 20:00,The CW,380
11/2/2015,Dancing with the Stars,16286,12.09,1.9,6,Mon,1/1/1900 20:00,ABC,5526
11/2/2015,Gotham,11348,4.27,1.6,5,Mon,1/1/1900 20:00,FOX,2860
11/2/2015,Jane the Virgin,3997,1.09,0.4,1,Mon,1/1/1900 21:00,The CW,1646
11/2/2015,Minority Report,3736,1.75,0.6,2,Mon,1/1/1900 21:00,FOX,465
11/2/2015,NCIS: Los Angeles,801,8.41,1.3,4,Mon,1/1/1900 22:00,CBS,228
11/2/2015,Scorpion,1781,9.51,1.9,5,Mon,1/1/1900 21:00,CBS,402
11/2/2015,The Voice,6257,12.06,3.3,10,Mon,1/1/1900 20:00,NBC,2961
11/3/2015,Agents of SHIELD,14204,3.84,1.4,4,Tue,1/1/1900 21:00,ABC,3213
11/3/2015,Best Time Ever,2124,5.06,1.4,4,Tue,1/1/1900 20:00,NBC,1156
11/3/2015,Chicago Fire,7399,8.11,1.8,6,Tue,1/1/1900 22:00,NBC,1558
11/3/2015,Fresh Off the Boat,865,4.45,1.6,5,Tue,1/1/1900 20:30,ABC,336
11/3/2015,Grandfathered,1149,3.18,1,3,Tue,1/1/1900 20:00,FOX,423
11/3/2015,Limitless,1446,7.86,1.5,5,Tue,1/1/1900 22:00,CBS,443
11/3/2015,NCIS,2207,17.97,2.3,8,Tue,1/1/1900 20:00,CBS,497
11/3/2015,NCIS: New Orleans,714,14.15,1.9,6,Tue,1/1/1900 21:00,CBS,181
11/3/2015,Scream Queens,20598,2.44,1,3,Tue,1/1/1900 21:00,FOX,5985
11/3/2015,The Flash,18003,3.87,1.5,5,Tue,1/1/1900 20:00,The CW,3954
11/3/2015,The Grinder,628,2.52,0.8,3,Tue,1/1/1900 20:30,FOX,382
11/3/2015,The Muppets,1448,4.56,1.4,5,Tue,1/1/1900 20:00,ABC,586
11/3/2015,The Voice,1473,8.22,2,6,Tue,1/1/1900 21:00,NBC,904
11/3/2015,iZombie,2467,1.43,0.6,2,Tue,1/1/1900 21:00,The CW,677
11/4/2015,Arrow,16,2.6,1.1,4,Wed,1/1/1900 20:00,The CW,16
11/4/2015,Chicago PD,1,6.48,1.4,5,Wed,1/1/1900 22:00,NBC,1
11/4/2015,Code Black,3,6.44,1.2,4,Wed,1/1/1900 22:00,CBS,3
11/4/2015,Empire,22,11.68,4.6,14,Wed,1/1/1900 21:00,FOX,21
11/4/2015,Rosewood,1676,5.05,1.5,5,Wed,1/1/1900 20:00,FOX,444
11/4/2015,Supernatural,1,1.64,0.6,2,Wed,1/1/1900 21:00,The CW,1
11/4/2015,Survivor,6183,8.8,2,7,Wed,1/1/1900 20:00,CBS,1845
