hashtag,handle,title
#AFV, @AFVofficial,America's Funniest Home Videos
#60Minutes, @60Minutes,60 Minutes
#BOBSBURGERS, @BobsBurgersFOX,Bob's Burgers
#OnceUponATime, @OnceABC,Once Upon a Time
#TheSimpsons, @TheSimpsons,The Simpsons
#MadamSecretary, @MadamSecretary,Madam Secretary
#Brooklyn99, @Brooklyn99Fox,Brooklyn Nine-Nine
#FAMILYGUY, @FamilyGuyonFox,Family Guy
#BloodandOil, @bloodandoil,Blood & Oil
#LastManOnEarth, @LastManFOX,The Last Man on Earth
#TheGoodWife, @TheGoodWife_CBS,The Good Wife
#Quantico, @QuanticoTV,Quantico
#CSICyber, @CSICyber,CSI: Cyber
#BigBangTheory, @BigBang_CBS,The Big Bang Theory
#TheVoice, @NBCTheVoice,The Voice
#DWTS, @DancingABC,Dancing with the Stars
#Gotham, @Gotham,Gotham
#CrazyExGirlfriend, @CW_CrazyXGF,Crazy Ex-Girlfriend
#LifeInPieces, @LifeInPiecesCBS,Life in Pieces
#TeamScorpion, @ScorpionCBS,Scorpion
#MinorityReport, @MinorityReport,Minority Report
#JaneTheVirgin, @CWJaneTheVirgin,Jane the Virgin
#Blindspot, @NBCBlindspot,Blindspot
#Castle, @Castle_ABC,Castle
#NCISLA, @NCISLA_CBS,NCIS: Los Angeles
#NCIS, @NCIS_CBS,NCIS
#TheMuppets, @TheMuppetsABC,The Muppets
#TheFlash, @CW_TheFlash,The Flash
#BestTimeEver, @BestTimeEver,Best Time Ever
#Grandfathered, @Grandfathered,Grandfathered
#FreshOffTheBoat, @FreshOffABC,Fresh Off the Boat
#TheGrinder, @TheGrinderFOX,The Grinder
#NCISNOLA, @NCISNewOrleans,NCIS: New Orleans
#AgentsofSHIELD, @AgentsofSHIELD,Agents of SHIELD
#ScreamQueens, @ScreamQueens,Scream Queens
#iZombie, @CWiZombie,iZombie
#ChicagoFire, @NBCChicagoFire,Chicago Fire
#LIMITLESS, @LimitlessCBS,Limitless
#SharkTank, @ABCSharkTank,Shark Tank
#Survivor, @Survivor_Tweet,Survivor
#TheMiddle, @TheMiddle_ABC,The Middle
#Rosewood, @RosewoodFOX,Rosewood
#MysteriesOfLaura, @NBCLaura,The Mysteries of Laura
#Arrow, @CW_Arrow,Arrow
#TheGoldbergs, @TheGoldbergsABC,The Goldbergs
#Empire, @EmpireFOX,Empire
#ModernFamily, @ModernFam,Modern Family
#CriminalMinds, @CrimMinds_CBS,Criminal Minds
#SVU, @nbcsvu,Law & Order: SVU
#Supernatural, @cw_spn,Supernatural
#blackish, @black_ishABC,Black-ish
#ChicagoPD, @NBCChicagoPD,Chicago PD
#CodeBlack, @CodeBlackCBS,Code Black
#Nashville, @Nashville_ABC,Nashville
#GreysAnatomy, @GreysABC,Grey's Anatomy
#Bones, @BONESonFOX,Bones
#HeroesReborn, @heroes,Heroes Reborn
#TVD, @cwtvd,The Vampire Diaries
#Scandal, @ScandalABC,Scandal
#TheBlacklist, @NBCBlacklist,The Blacklist
#SleepyHollow, @SleepyHollowFOX,Sleepy Hollow
#TheOriginals, @cworiginals,The Originals
#HTGAWM, @HowToGetAwayABC,How to Get Away with Murder
#ThePlayer, @NBCThePlayer,The Player
#LastManStanding, @LastManABC,Last Man Standing
#AmazingRace, @AmazingRace_CBS,The Amazing Race
#Undateable, @NBCUndateable,Undateable
#Reign, @CWReign,Reign
#DrKen, @DrKenABC,Dr. Ken
#H50, @HawaiiFive0CBS,Hawaii Five-0
#Dateline, @DatelineNBC,Dateline
#ANTM, @CW_ANTM,America's Next Top Model
#BlueBloods, @BlueBloods_CBS,Blue Bloods
#abc2020, @ABC2020,20/20
#TheWalkingDead, @WalkingDead_AMC,The Walking Dead
#Homeland, @SHO_Homeland,Homeland
#Fargo, @FargoFX,Fargo
#AHSHotel, @AHSFX,American Horror Story
#SouthPark, @SouthPark,South Park
#TBX, @TheBastardEx,The Bastard Executioner
